species_name,VN_name,big_category,"selection (em cứ thêm bên dưới, nó tự update)"
macaque,Khỉ,Primates,Feliformia
Chelonia mydas,Vích,Turtles,Pangolins
Nomascus gabriellae,Vượn đen má vàng,Primates,Elephants
Pygathrix nemaeus,Chà vá chân đỏ,Primates,Rhinos
Malayemys subtrijuga,Rùa ba gờ,Turtles,Snakes
pangolin,Tê tê,Pangolins,Bears
Ursus Selenarctos thibetanus,Gấu ngựa,Bears,Birds
Nomascus leucogenys siki,Vượn đen má trắng,Primates,Others
Macaca fascicularis,Khỉ đuôi dài ,Primates,Turtles
Pygathrix nigripes,Chà vá chân xám,Primates,
Hylobates gabriellae,Vượn đen má vàng Nam,Primates,Primates
Catopuma temminckii,Báo lửa,Feliformia,
Panthera pardus,Báo hoa mai,Feliformia,
Viverricula indica,Cầy hương,Feliformia,
Bamboo rats,Dúi,Others,
Gallus gallus,Gà,Birds,
Nycticebus pygmaeus,Cu li nhỏ ,Primates,
Macaca leonine,Khỉ đuôi lợn phương bắc,Primates,
Prionilurus bengalensis,Mèo báo,Feliformia,
Ursus tibetanus,Gấu ngựa ,Bears,
Turtle,Rùa,Turtles,
Nycticebus bengalensis,Cu li chậm Bengal ,Primates,
Geoemyda spengleri,Rùa đất Spengleri ,Turtles,
Cuora mouhotii,Rùa sa nhân,Turtles,
Paradoxurus hermaphroditus,Cầy vòi hương,Feliformia,
Manis javanica,Tê tê Java,Pangolins,
Eretmochelys imbricata,Đồi mồi ,Turtles,
Rallus striatus,Gà nước vằn,Birds,
Phython molurus,Trăn đất,Snakes,
Rat Snakes,Rắn Ngô Đen,Snakes,
Platysternon megacephalum,Rùa đầu to,Turtles,
Manis pentadactyla,Tê tê,Pangolins,
Manis janica,Tê tê Java,Pangolins,
Ursus thibetanus,Gấu ngựa,Bears,
leopart cat,Mèo báo,Feliformia,
ferret badger,Chồn bạc má Bắc,Others,
cobra,Rắn hổ mang,Snakes,
junglefowl,Gà rừng lông đỏ,Birds,
Python bivittatus,Trăn Miến Điện,Snakes,
Macaca arctoides,Khỉ mặt đỏ,Primates,
Naja atra,Rắn hổ mang Trung Quốc,Snakes,
bamboo rat,Dúi,Others,
monitor lizard,Kỳ đà,Others,
Atherurus macrourus,Don,Others,
others,Các loài khác,Others,
Prionailurus bengalensis,Mèo báo,Feliformia,
Pygathrix cinerea,Chà vá chân xám,Primates,
Helarctos malayanus,Gấu chó,Bears,
Macaca assamensis,Khỉ mốc,Primates,
owl,Cú,Birds,
Cuora flavomarginata,Rùa hộp ba vạch,Turtles,
Mauremys sinensis,Rùa cổ sọc,Turtles,
Cyclemys tcheponensis,Rùa đất Sêpôn,Turtles,
Ophiophagus hannah,Rắn hổ mang chúa,Snakes,
Gekko gecko,Tắc kè,Others,
Eudynamys scolopaceus,Tu hú châu Á,Birds,
Nycticorax nycticorax,Vạc ,Birds,
Haliaeetus leucogaster,Đại bàng bụng trắng,Birds,
Cuora galbinifrons,Rùa hộp trán vàng miền Bắc,Turtles,
turtle,Rùa,Turtles,
Macrochelys temminckii,Rùa cá sấu,Turtles,
Pelochelys cantorii,Rùa mai mềm khổng lồ Châu Á,Turtles,
Indotestudo elongata,Rùa núi vàng,Turtles,
civet,Cầy,Others,
python,Trăn,Snakes,
Sus scrofa,Lợn rừng,Others,
Astrochelys radiata,,Turtles,
water dragon,Rồng đất,Others,
sparrow,Chim sẻ,Birds,
owl ,Cú,Birds,
South American parrots,Vẹt Macaw ,Birds,
Macaca mulatta,Khỉ,Primates,
Python molurus,Trăn đất,Snakes,
Muntiacus muntjak,Mang,Others,
snake,Rắn,Snakes,
Cuora amboinensis,Rùa hộp lưng đen,Turtles,
Batagur borneoensis,Rùa đầm,Turtles,
Heosemys grandis,Rùa đất lớn,Turtles,
Cyclemys pulchristiata,Rùa dứa sọc,Turtles,
Heosemys annandalii,Rùa răng ,Turtles,
Nomascus annemensis,Vượn đen má hung Trung Bộ,Primates,
Amyda cartilaginea,Ba ba Nam Bộ,Turtles,
Varanus salvator,Varanus salvator,Others,
Macaca leonina,Khỉ đuôi lợn phương bắc,Primates,
Nomascus leucogenys,Vượn đen má trắng,Primates,
Cuora bourreti,Rùa hộp trán vàng,Turtles,
